2018年 医 保 药 品 目 录,,,,,,,,,,,,
,,,,,,,,,,,,,
序号,医保药品名称,目录类别,目录剂型,目录等级,工伤目录,生育目录,医疗目录,非处方用药,限制范围,普通人员支付类型,特殊人群支付类型,居民支付类型
5117,水合氯醛溶液(湘雅二医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5118,维甲酸乳膏(湘雅二医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5119,维生素B1片(湘雅二医院专用制剂),西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5120,维生素B6片(湘雅二医院专用制剂),西药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5121,消洁防疤液(湘雅二医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5122,硝酸咪康唑软膏(湘雅二医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5123,新霉素氧化锌糊(湘雅二医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5124,氧氟沙星滴耳液(湘雅二医院专用制剂),西药,滴耳剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5125,氧氟沙星滴眼液(湘雅二医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5126,氧化锌糊(湘雅二医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5127,依硼搽剂(湘雅二医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5128,樟脑柳酸醑(湘雅二医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5129,止痒粉(湘雅二医院专用制剂),中成药,口服散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5130,治滴片(湘雅二医院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5131,软皂液(湘雅二医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5132,1%硫酸阿托品滴眼液(湘雅三医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5133,1%硝酸毛果芸香碱滴眼液(湘雅三医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5134,10%硼酸软膏(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5135,20%硫磺乳膏(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5136,33%硫酸镁溶液(湘雅三医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5137,50%硫酸镁溶液(湘雅三医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5138,呋喃西林溶液(湘雅三医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5139,硫酸阿托品眼膏(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5140,硫酸庆大霉素滴眼液(湘雅三医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5141,盐酸丁卡因滴眼液(湘雅三医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5142,20%尿素乳膏(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5143,碘化钾溶液(湘雅三医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5144,锌硼糊(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5145,0.5%盐酸乙基吗啡滴眼液(湘雅三医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5146,1%盐酸乙基吗啡滴眼液(湘雅三医院专用制剂),西药,滴眼剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5147,2%碘酊(湘雅三医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5148,5%盐酸苯福林滴眼液(湘雅三医院专用制剂),西药,滴眼剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5149,50%甘油溶液(湘雅三医院专用制剂),西药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5150,复方氢醌霜(湘雅三医院专用制剂),西药,软膏剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5151,鞣酸软膏(湘雅三医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5152,羧甲基纤维素钠胶浆(湘雅三医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5153,0.25％氯霉素滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5154,1％硫酸阿托品滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5155,1％硫酸阿托品眼膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5156,1％硫酸锌合剂(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5157,1％盐酸匹罗卡品眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5158,2％氯霉素滴耳液(省人民医院专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5159,2％盐酸溶液(省人民医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5160,3％硼酸滴耳液(省人民医院专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5161,33％硫酸镁溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5162,4％克霉唑软膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5163,4％盐酸吗啉胍滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5164,50％硫酸镁溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5165,颠茄合剂(省人民医院专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5166,碘甘油(省人民医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5167,复方薄荷脑滴鼻液(省人民医院专用制剂),中成药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5168,复方碘口服溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5169,复方呋喃西林滴鼻液(省人民医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5170,复方甘草合剂(省人民医院专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5171,复方硫磺软膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5172,怀氏液(省人民医院专用制剂),中成药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5173,硫酸庆大霉素眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5174,炉甘石薄荷脑洗剂(省人民医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5175,氯霉素可的松滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5176,麻黄碱可的松滴鼻液(省人民医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5177,水杨酸滴耳剂(省人民医院专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5178,盐酸麻黄素滴鼻液(省人民医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5179,硫代硫酸钠溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5180,水合氯醛合剂(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5181,0.5％硫酸锌滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5182,碘化钾溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5183,浓复方苯甲酸软膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5184,鞣酸软膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5185,氧化锌糊(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5186,0.3％氟哌酸滴眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5187,1％盐酸狄奥宁眼液(省人民医院专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5188,10％水合氯醛溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5189,2％碘酊(省人民医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5190,5％新福林滴眼液(省人民医院专用制剂),西药,滴眼剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5191,苯酚滴耳液(省人民医院专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5192,己烯雌酚软膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5193,甲癣酊(省人民医院专用制剂),中成药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5194,氯胺－T溶液(省人民医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5195,氯替含漱液(省人民医院专用制剂),西药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5196,氯替洗液(省人民医院专用制剂),西药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5197,氢醌乳膏(省人民医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5198,胃舒剂(省人民医院专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5199,盐酸达克罗宁溶液(省人民医院专用制剂),西药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5200,碘甘油(省儿童医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5201,复方地塞米松乳膏(省儿童医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5202,复方硫磺洗剂(省儿童医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5203,硫酸阿托品眼膏(省儿童医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5204,炉甘石洗剂(省儿童医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5205,盐酸麻黄碱滴鼻液(省儿童医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5206,鼻炎合剂(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5207,洁菌灵溶液(省儿童医院专用制剂),中成药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5208,抗病毒合剂(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5209,鹿珠合剂(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5210,氯锌油(省儿童医院专用制剂),西药,软膏剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5211,强力防感合剂(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5212,鞣酸软膏(省儿童医院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5213,益血灵口服液(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5214,止咳灵合剂（咳嗽Ⅰ号）(省儿童医院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5215,复方甲硝唑栓(省妇幼保健院专用制剂),西药,栓剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5216,六合粉(省妇幼保健院专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5217,益母草颗粒(省妇幼保健院专用制剂),中成药,颗粒剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5218,50%硫酸美溶液(省妇幼保健院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5219,三七胶囊(省妇幼保健院专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5220,水合氯醛(省妇幼保健院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5221,产康乐合剂(省妇幼保健院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5222,产术康合剂(省妇幼保健院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5223,碘酊(省妇幼保健院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5224,妇科消炎栓(省妇幼保健院专用制剂),中成药,栓剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5225,复方达那唑栓(省妇幼保健院专用制剂),西药,栓剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5226,复方替硝唑含漱液(省妇幼保健院专用制剂),西药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5227,复方制霉素栓(省妇幼保健院专用制剂),西药,栓剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5228,己烯雌酚软膏(省妇幼保健院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5229,盆炎灵合剂(省妇幼保健院专用制剂),中成药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5230,鞣酸软膏(省妇幼保健院专用制剂),西药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5231,生乳合剂(省妇幼保健院专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5232,羧甲基纤维素钠胶浆(省妇幼保健院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5233,血竭胶囊(省妇幼保健院专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5234,阴炎净洗液(省妇幼保健院专用制剂),西药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5235,冰滑粉(省肿瘤医院专用制剂),西药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5236,醋酸洗必泰溶液(省肿瘤医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5237,颠茄合剂(省肿瘤医院专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5238,碘甘油(省肿瘤医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5239,呋麻滴鼻液(省肿瘤医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5240,呋喃西林溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5241,复方薄荷脑滴鼻液(省肿瘤医院专用制剂),中成药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5242,复方硼砂溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5243,含氯石灰硼酸溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5244,口服洗肠剂(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5245,硫酸镁溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5246,氯化钾溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5247,硼酸溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5248,碳酸氢钠溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5249,盐酸地卡因溶液(省肿瘤医院专用制剂),西药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5250,盐酸麻黄碱滴鼻液(省肿瘤医院专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5251,盐酸普鲁卡因溶液(省肿瘤医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5252,水合氯醛溶液(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5253,碘酊(省肿瘤医院专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5254,羧甲基纤维素钠胶浆(省肿瘤医院专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5255,盐酸地卡因胶浆(省肿瘤医院专用制剂),西药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5256,阴道冲洗液(省肿瘤医院专用制剂),中成药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5257,ACD滴眼液(省中医附一专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5258,大黄胶囊(省中医附一专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5259,碘甘油(省中医附一专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5260,丁卡因注射液(省中医附一专用制剂),西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5261,矾冰液(省中医附一专用制剂),中成药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5262,酚甘油滴耳液(省中医附一专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5263,呋喃西林溶液(省中医附一专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5264,复方薄荷油滴鼻液(省中医附一专用制剂),中成药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5265,复方鹅不食草滴鼻液(省中医附一专用制剂),中成药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5266,归红注射液(省中医附一专用制剂),西药,注射剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5267,硫酸阿托品滴眼液(省中医附一专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5268,硫酸链霉素滴鼻液(省中医附一专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5269,硫酸锌滴眼液(省中医附一专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5270,氯霉素甘油滴耳剂(省中医附一专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5271,硼酸酒精滴耳液(省中医附一专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5272,匹罗卡品滴眼液(省中医附一专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5273,青黛软膏(省中医附一专用制剂),中成药,软膏剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5274,如意金黄散(省中医附一专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5275,三七粉(省中医附一专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5276,三七胶囊(省中医附一专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5277,水杨酸酒精滴耳液(省中医附一专用制剂),西药,滴耳剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5278,天麻片(省中医附一专用制剂),中成药,口服常释剂型,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5279,铁笛丸(省中医附一专用制剂),中成药,丸剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5280,消炎散(省中医附一专用制剂),中成药,外用散剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5281,熊胆复明液(省中医附一专用制剂),中成药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5282,盐酸麻黄碱滴鼻液(省中医附一专用制剂),西药,滴鼻剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5283,鱼腥草滴眼剂(省中医附一专用制剂),中成药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5284,水合氯醛溶液(省中医附一专用制剂),西药,口服液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5285,荧光素钠滴眼液(省中医附一专用制剂),中成药,滴眼剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5286,安宫牛黄丸(省中医附一专用制剂),中成药,丸剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5287,鼻咽解毒胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5288,鳖龙软肝片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
5289,碘酊(省中医附一专用制剂),西药,外用液体剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5290,耳聪丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5291,扶正解毒胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5292,复骨健步片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5293,复明片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5294,冠心通络片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5295,海马全蝎丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付20%,无先支付,先支付20%
5296,槐榆丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5297,活血安痛酒(省中医附一专用制剂),中成药,外用液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5298,金刚健骨片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5299,近视复明丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5300,抗菌一号注射液(省中医附一专用制剂),中成药,注射剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5301,抗瘤升白片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5302,口腔愈疡冲剂(省中医附一专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5303,龙琥醒脑颗粒(省中医附一专用制剂),中成药,颗粒剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5304,氯霉素滴眼液(省中医附一专用制剂),西药,滴眼剂,甲类,属于,属于,属于,处方用药,,无先支付,无先支付,无先支付
5305,脉管通胶囊(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5306,盆炎丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5307,启明丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付10%,无先支付,先支付10%
5308,前炎清片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5309,清热解毒化浊片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5310,乳核袋泡剂(省中医附一专用制剂),中成药,口服散剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5311,乳痛软坚片(省中医附一专用制剂),中成药,口服常释剂型,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5312,软皂液(省中医附一专用制剂),西药,口服液体剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
5313,散血明目丸(省中医附一专用制剂),中成药,丸剂,乙类,属于,属于,属于,处方用药,,先支付5%,无先支付,先支付5%
